unNeighborClusters	group	medianAbundance	meanAbundance	minimumAbundance	maximumAbundance	IQRAbundance	sdAbundance	nAbundance
11	Proteobacteria-Parasutterella	0.020418326693227094	0.020418326693227094	0.00199203187250996	0.03884462151394422	0.018426294820717132	0.026058716039743284	2
11	Proteobacteria-Sutterella	0.02788844621513944	0.02788844621513944	0.02788844621513944	0.02788844621513944	0	NA	1
11	Proteobacteria-Unknown	0.00199203187250996	0.007626061410921962	9.9601593625498e-4	0.1902390438247012	0.00298804780876494	0.02505487557787241	99
11	Verrucomicrobia-Akkermansia	0.00298804780876494	0.00298804780876494	0.00298804780876494	0.00298804780876494	0	NA	1
11	Verrucomicrobia-Candidatus Udaeobacter	0.02390438247011952	0.023107569721115537	0.01394422310756972	0.03087649402390438	9.960159362549827e-4	0.006033916825044207	5
11	Verrucomicrobia-Candidatus Xiphinematobacter	0.00398406374501992	0.0041832669322709164	9.9601593625498e-4	0.00697211155378486	0.00298804780876494	0.0023779554554409004	5
11	Verrucomicrobia-Other	9.9601593625498e-4	0.0014061401453011485	9.9601593625498e-4	0.00398406374501992	9.9601593625498e-4	7.403987953638902e-4	34
11	Verrucomicrobia-uncultured	9.9601593625498e-4	0.0013280212483399733	9.9601593625498e-4	0.00199203187250996	4.9800796812749e-4	5.750500689139698e-4	3
2	Actinobacteria-Bifidobacterium	0.00298804780876494	0.00896414342629482	9.9601593625498e-4	0.02091633466135458	0.01394422310756972	0.009236671808262653	5
2	Actinobacteria-Eggerthella	0.00398406374501992	0.00398406374501992	0.00398406374501992	0.00398406374501992	0	NA	1
2	Actinobacteria-Other	9.9601593625498e-4	0.00199203187250996	9.9601593625498e-4	0.00398406374501992	0.00249003984063745	0.0014085792453915288	10
2	Actinobacteria-Unknown	9.9601593625498e-4	0.0013280212483399733	9.9601593625498e-4	0.00199203187250996	4.9800796812749e-4	5.750500689139698e-4	3
2	Bacteroidetes-Bacteroides	9.9601593625498e-4	0.0014317729083665337	9.9601593625498e-4	0.00697211155378486	0	0.0014981682227580989	16
2	Bacteroidetes-Other	9.9601593625498e-4	0.0015493581230633024	9.9601593625498e-4	0.00597609561752988	0	0.0016600265604249673	9
2	Bacteroidetes-Parabacteroides	9.9601593625498e-4	0.00149402390438247	9.9601593625498e-4	0.00298804780876494	4.9800796812749e-4	9.9601593625498e-4	4
2	Bacteroidetes-Prevotella 9	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
2	Firmicutes-Agathobacter	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
2	Firmicutes-Blautia	9.9601593625498e-4	0.0013280212483399733	9.9601593625498e-4	0.00199203187250996	4.9800796812749e-4	5.750500689139698e-4	3
2	Firmicutes-Enterococcus	0.03535856573705179	0.07934926958831341	9.9601593625498e-4	0.27589641434262946	0.10582669322709165	0.0910997849417464	12
2	Firmicutes-Erysipelatoclostridium	0.0298804780876494	0.058698539176626825	0.00199203187250996	0.28386454183266935	0.030378486055776886	0.08326756768535715	15
2	Firmicutes-Faecalibacterium	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	9.9601593625498e-4	0	NA	1
2	Firmicutes-Lactobacillus	0.03784860557768924	0.06813172840552681	9.9601593625498e-4	0.3376494023904382	0.10358565737051792	0.07565408174172622	47
2	Firmicutes-Other	0.00398406374501992	0.01668117446181662	9.9601593625498e-4	0.25	0.009960159362549799	0.03393547132186887	238
2	Firmicutes-Streptococcus	0.00448207171314741	0.016123007968127483	9.9601593625498e-4	0.10358565737051792	0.011952191235059759	0.024371634883716253	32
2	Firmicutes-Unknown	0.00298804780876494	0.016600265604249667	9.9601593625498e-4	0.13545816733067728	0.017679282868525895	0.027091933921765378	66
2	Firmicutes-Veillonella	0.06175298804780876	0.09688903958633549	9.9601593625498e-4	0.301792828685259	0.10856573705179282	0.0862319298490095	47
2	Other-Cetobacterium	0.0856573705179283	0.10956175298804781	9.9601593625498e-4	0.26593625498007967	0.17828685258964144	0.1272044027955816	4
2	Other-Cloacibacillus	0.06324701195219123	0.06324701195219123	9.9601593625498e-4	0.1254980079681275	0.062250996015936255	0.08803620283697056	2
2	Other-Fusobacterium	0.07669322709163347	0.088253048412411	9.9601593625498e-4	0.351593625498008	0.10557768924302788	0.09131113579614393	33
2	Other-Other	0.00298804780876494	0.029291923216226007	9.9601593625498e-4	0.26195219123505975	0.01743027888446215	0.0634252996690756	22
2	Other-Unknown	9.9601593625498e-4	0.0017430278884462151	9.9601593625498e-4	0.00398406374501992	7.47011952191235e-4	0.0014940239043824699	4
2	Proteobacteria-Bilophila	0.02390438247011952	0.02191235059760956	0.00796812749003984	0.03585657370517928	0.00796812749003984	0.00946215139442231	9
2	Proteobacteria-Enterobacter	0.01593625498007968	0.0472277556440903	0.00298804780876494	0.3286852589641434	0.030627490039840635	0.09117808276137741	12
2	Proteobacteria-Escherichia-Shigella	0.10209163346613546	0.12492885600455321	9.9601593625498e-4	0.4511952191235059	0.12823705179282868	0.11435882004446023	28
2	Proteobacteria-Haemophilus	9.9601593625498e-4	0.0028457598178713715	9.9601593625498e-4	0.0099601593625498	0.00199203187250996	0.0033247926709015145	7
2	Proteobacteria-Morganella	0.014442231075697209	0.02905046480743692	0.00597609561752988	0.08665338645418327	0.02788844621513944	0.03137950802196686	6
2	Proteobacteria-Other	0.0034860557768924302	0.005270584329349269	9.9601593625498e-4	0.01593625498007968	0.0069721115537848604	0.0049276572847483805	24
2	Proteobacteria-Parasutterella	0.08366533864541832	0.09247221639756761	0.00298804780876494	0.24302788844621517	0.1294820717131474	0.0802589885609992	19
2	Proteobacteria-Proteus	0.00796812749003984	0.02873122893043211	9.9601593625498e-4	0.16733067729083664	0.027888446215139442	0.04517627215430961	26
2	Proteobacteria-Sutterella	0.08615537848605578	0.0968981217985202	0.01195219123505976	0.24402390438247012	0.11603585657370516	0.07947647271529663	14
2	Proteobacteria-Unknown	0.3655378486055777	0.3220070537522043	9.9601593625498e-4	0.6205179282868526	0.2798804780876494	0.18125185414027667	61
2	Verrucomicrobia-Akkermansia	0.1593625498007968	0.16589198760513502	9.9601593625498e-4	0.33067729083665337	0.13545816733067728	0.11836478293610919	9
3	Actinobacteria-Bifidobacterium	0.00199203187250996	0.007719123505976095	9.9601593625498e-4	0.06175298804780876	0.003237051792828685	0.017105158439394818	12
